"winner","round_type","ct","t"
"t","ECO",6100,24500
"t","NORMAL",17100,25200
"t","ECO",3950,24500
"ct","NORMAL",30700,26200
"t","NORMAL",22400,18500
"t","SEMI_ECO",11750,27950
"t","ECO",10350,27450
"ct","PISTOL_ROUND",4000,3550
"t","ECO",18700,4000
"t","ECO",5150,20650
"t","FORCE_BUY",11550,19350
"ct","ECO",9200,25300
"ct","FORCE_BUY",25700,12050
"ct","ECO",27400,3900
"t","NORMAL",24950,22500
"t","NORMAL",23000,17200
"t","ECO",4550,29450
"t","FORCE_BUY",15200,29750
"ct","ECO",9100,30250
"t","NORMAL",22900,26800
"t","SEMI_ECO",7150,16300
"t","NORMAL",16750,23250
"ct","PISTOL_ROUND",4300,4400
"t","FORCE_BUY",14900,7900
"t","SEMI_ECO",8550,20550
"t","ECO",1100,21900
"t","NORMAL",19450,27300
"t","ECO",4750,27900
"t","NORMAL",22500,26400
"ct","FORCE_BUY",15600,28650
"t","NORMAL",24500,25150
"t","ECO",3750,24750
"t","FORCE_BUY",11600,25200
"t","NORMAL",17500,24500
"t","ECO",9650,25800
"t","PISTOL_ROUND",4350,3600
"ct","FORCE_BUY",7650,15700
"ct","ECO",19250,1000
"ct","NORMAL",22350,21200
"ct","ECO",29100,5550
"ct","ECO",28050,5200
"t","FORCE_BUY",33550,19200
"ct","NORMAL",29850,25650
"ct","ECO",18100,3500
"ct","NORMAL",23550,22450
"ct","ECO",31050,6700
"ct","FORCE_BUY",33450,19650
"t","ECO",32350,7700
"ct","NORMAL",30650,29050
"ct","NORMAL",27650,28050
"ct","PISTOL_ROUND",4200,4250
"ct","SEMI_ECO",17050,7300
"ct","ECO",20850,1200
"t","NORMAL",28650,22150
"t","ECO",6500,24700
"t","NORMAL",16100,22400
"t","FORCE_BUY",15600,27150
"ct","PISTOL_ROUND",4400,3450
"t","SEMI_ECO",15850,6600
"t","SEMI_ECO",7500,18100
"ct","ECO",3600,25200
"t","FORCE_BUY",27150,13950
"ct","NORMAL",23700,25150
"ct","ECO",26400,2300
"ct","NORMAL",28200,21700
"ct","ECO",27600,2950
"ct","NORMAL",26700,25300
"ct","FORCE_BUY",30200,16450
"ct","NORMAL",30800,19250
"ct","ECO",30950,5000
"t","NORMAL",30650,27050
"t","NORMAL",22100,24850
"t","PISTOL_ROUND",4300,3650
"t","SEMI_ECO",7900,18650
"t","ECO",1000,19500
"ct","NORMAL",23500,22600
"ct","ECO",27650,8000
"t","FORCE_BUY",29150,16450
"t","NORMAL",14450,23100
"t","SEMI_ECO",9550,24700
"ct","PISTOL_ROUND",4400,2950
"ct","ECO",18650,6050
"ct","ECO",19700,1000
"t","NORMAL",27300,25300
"ct","NORMAL",16000,19700
"ct","ECO",30850,1300
"ct","ECO",23050,7050
"ct","ECO",18600,1850
"t","NORMAL",22350,21550
"t","ECO",6050,21550
"t","ECO",1500,26250
"t","NORMAL",23500,15700
"t","ECO",4150,26850
"t","NORMAL",28100,27650
"ct","NORMAL",17650,22850
"ct","PISTOL_ROUND",4250,3750
"ct","ECO",16450,6200
"ct","ECO",16300,1100
"ct","NORMAL",27550,23800
"ct","FORCE_BUY",30850,14400
"t","NORMAL",32700,23000
"t","NORMAL",20300,21300
"ct","ECO",5150,24700
"t","NORMAL",29100,21600
"t","ECO",4000,22800
"t","FORCE_BUY",12450,23700
"ct","NORMAL",21600,24250
"t","NORMAL",17500,23400
"ct","NORMAL",17700,24100
"t","NORMAL",24650,21350
"ct","NORMAL",31100,24300
"ct","NORMAL",31700,24500
"ct","NORMAL",31900,26450
"t","NORMAL",26500,28400
"ct","PISTOL_ROUND",4350,3600
"t","SEMI_ECO",16950,7200
"t","ECO",3250,19600
"t","ECO",2100,26050
"ct","NORMAL",27250,24150
"ct","NORMAL",21400,16400
"ct","ECO",25600,2650
"t","NORMAL",24650,21850
"t","ECO",3550,27000
"ct","NORMAL",18350,30400
"t","NORMAL",25900,21700
"t","ECO",2400,24700
"t","ECO",5100,25300
"t","NORMAL",25550,26550
"t","SEMI_ECO",11150,27650
"t","PISTOL_ROUND",4400,4250
"t","ECO",4000,12750
"t","ECO",3500,20400
"ct","NORMAL",19000,23200
"t","NORMAL",22100,19200
"t","ECO",2400,25950
"t","ECO",6100,26550
"t","NORMAL",27550,26450
"t","ECO",4850,26950
"ct","NORMAL",29550,26350
"ct","NORMAL",28500,21800
"ct","ECO",28750,4200
"ct","NORMAL",31350,24300
"ct","FORCE_BUY",33400,19100
"t","PISTOL_ROUND",3700,3650
"t","ECO",6100,16400
"t","ECO",4400,21000
"ct","NORMAL",22900,21800
"ct","NORMAL",24450,19400
"ct","ECO",29300,2300
"ct","FORCE_BUY",29550,15900
"ct","ECO",30800,7600
"ct","NORMAL",29100,24200
"ct","ECO",32650,5450
"ct","NORMAL",32650,25850
"ct","FORCE_BUY",34700,19150
"ct","NORMAL",34500,21300
"ct","NORMAL",31200,21800
"ct","NORMAL",33000,21000
"t","PISTOL_ROUND",4000,4400
"t","SEMI_ECO",7250,17250
"t","NORMAL",12250,17700
"t","FORCE_BUY",12850,23700
"ct","SEMI_ECO",7700,17600
"ct","ECO",23600,6850
"ct","ECO",29750,7800
"ct","NORMAL",31750,19600
"ct","ECO",30200,4350
"ct","NORMAL",32850,26250
"ct","ECO",33050,11250
"t","SEMI_ECO",34300,14950
"t","NORMAL",28550,23150
"t","NORMAL",17650,27350
"t","ECO",4600,28250
"ct","NORMAL",21050,22450
"t","NORMAL",27900,22350
"t","ECO",8800,27350
"t","PISTOL_ROUND",3650,3650
"t","SEMI_ECO",6800,15350
"t","ECO",1300,19700
"t","NORMAL",24000,23550
"t","ECO",4150,27850
"t","NORMAL",27100,28150
"t","SEMI_ECO",13500,30700
"ct","NORMAL",22250,29600
"t","NORMAL",26700,23850
"ct","PISTOL_ROUND",4250,3750
"ct","ECO",19900,3750
"ct","NORMAL",23050,18950
"ct","ECO",24950,1700
"ct","NORMAL",25350,25850
"ct","ECO",31700,5150
"ct","NORMAL",33600,24500
"ct","FORCE_BUY",34550,20700
"ct","FORCE_BUY",35450,21250
"t","FORCE_BUY",35350,16850
"ct","NORMAL",26150,21050
"t","ECO",23300,5850
"t","NORMAL",27450,26200
"t","SEMI_ECO",12050,26550
"t","SEMI_ECO",11650,27000
"ct","PISTOL_ROUND",4400,4100
"ct","ECO",18050,3000
"t","NORMAL",26800,18250
"t","SEMI_ECO",8350,21200
"t","NORMAL",18050,26050
"t","FORCE_BUY",15000,27450
"t","ECO",8800,27150
"ct","NORMAL",24750,27850
"t","NORMAL",24800,22100
"t","ECO",6150,18050
"t","ECO",1600,20750
"t","NORMAL",24400,26000
"t","ECO",7200,23650
"ct","NORMAL",25950,27050
"ct","NORMAL",28800,21850
"ct","ECO",30350,4650
"ct","NORMAL",31300,25550
"ct","ECO",31000,10750
"t","NORMAL",33600,27000
"t","NORMAL",26750,23150
"t","NORMAL",19950,24150
"t","ECO",8600,26750
"t","NORMAL",20700,24600
"ct","ECO",17750,4500
"ct","ECO",14300,1700
"t","NORMAL",27250,22050
"ct","NORMAL",18100,26250
"t","NORMAL",21600,15050
"ct","NORMAL",18700,20900
"t","ECO",27850,9050
"t","ECO",11150,29850
"t","ECO",1000,28500
"ct","NORMAL",22600,28350
"t","PISTOL_ROUND",4350,4300
"t","FORCE_BUY",8300,16250
"ct","ECO",1400,20100
"ct","FORCE_BUY",27050,15600
"ct","ECO",31150,1300
"ct","NORMAL",31450,21800
"ct","NORMAL",34400,20700
"ct","ECO",31850,11200
"t","NORMAL",32250,22350
"ct","NORMAL",28250,22400
"t","SEMI_ECO",25200,9600
"ct","FORCE_BUY",9900,19500
"ct","NORMAL",24850,15800
"ct","ECO",25400,1100
"t","FORCE_BUY",33050,18600
"t","PISTOL_ROUND",3600,3800
"ct","ECO",6400,19200
"t","SEMI_ECO",21250,8950
"t","FORCE_BUY",11050,23100
"t","ECO",5550,23550
"t","NORMAL",17700,24150
"t","NORMAL",14750,24450
"ct","PISTOL_ROUND",4350,3750
"ct","ECO",17850,6450
"t","ECO",20550,6200
"ct","NORMAL",22600,22750
"ct","ECO",27100,4150
"ct","NORMAL",28350,19800
"ct","ECO",27950,4800
"ct","NORMAL",28250,22150
"ct","NORMAL",28950,17550
"ct","NORMAL",29400,21000
"ct","NORMAL",30400,20650
"ct","FORCE_BUY",28400,15050
"ct","NORMAL",30100,19400
"t","NORMAL",29500,18550
"ct","NORMAL",28350,28400
"t","SEMI_ECO",8250,19800
"ct","SEMI_ECO",9250,23050
"t","NORMAL",19600,14800
"ct","PISTOL_ROUND",3600,3850
"t","SEMI_ECO",17450,7900
"t","SEMI_ECO",9600,24700
"t","ECO",1300,24800
"ct","NORMAL",23000,27000
"t","NORMAL",24200,26100
"t","ECO",9450,32450
"t","ECO",2750,28450
"ct","NORMAL",23850,27050
"ct","NORMAL",31600,24450
"ct","ECO",29050,10450
"ct","FORCE_BUY",29300,14550
"t","NORMAL",29400,19400
"ct","NORMAL",22550,24200
"ct","PISTOL_ROUND",4300,4200
"ct","PISTOL_ROUND",19600,6600
"ct","ECO",22250,1300
"t","NORMAL",22850,23450
"ct","FORCE_BUY",14500,24750
"ct","NORMAL",24850,19400
"ct","ECO",29100,1000
"t","NORMAL",27650,22950
"ct","NORMAL",22050,25100
"t","NORMAL",28550,19700
"t","ECO",3700,24850
"t","ECO",3250,20600
"t","NORMAL",27200,25300
"ct","NORMAL",19450,26400
"ct","NORMAL",26950,18900
"t","PISTOL_ROUND",3800,4300
"t","SEMI_ECO",7400,17000
"t","ECO",1000,15000
"ct","NORMAL",23500,23200
"ct","NORMAL",19550,23700
"ct","ECO",22250,2000
"t","NORMAL",27650,23400
"t","FORCE_BUY",13000,23400
"t","NORMAL",25200,25200
"t","ECO",4100,25150
"t","NORMAL",29800,29700
"t","FORCE_BUY",17300,29600
"ct","NORMAL",17500,22300
"ct","NORMAL",26200,26050
"t","FORCE_BUY",27900,15100
"t","PISTOL_ROUND",4300,4300
"t","ECO",5850,19300
"t","ECO",2050,20250
"ct","NORMAL",22200,26200
"t","SEMI_ECO",25500,10350
"t","ECO",5400,27500
"t","ECO",2100,28800
"ct","NORMAL",25200,28350
"t","NORMAL",24650,25550
"t","ECO",5700,25500
"t","ECO",3100,27850
"ct","NORMAL",30350,27950
"t","NORMAL",26400,21750
"t","ECO",6550,25350
"ct","PISTOL_ROUND",4300,3500
"ct","ECO",17400,6250
"ct","ECO",18200,1600
"t","NORMAL",26700,23050
"t","SEMI_ECO",10100,24300
"ct","NORMAL",22650,24700
"t","ECO",29300,4550
"ct","SEMI_ECO",10700,26350
"t","NORMAL",23300,14800
"ct","SEMI_ECO",8750,21100
"ct","NORMAL",23150,17650
"ct","ECO",28350,5600
"t","NORMAL",29250,20550
"t","FORCE_BUY",12500,24700
"ct","SEMI_ECO",10750,27550
"ct","PISTOL_ROUND",3650,4350
"ct","ECO",19050,2600
"ct","NORMAL",25500,18100
"ct","ECO",31600,3650
"ct","NORMAL",30900,22700
"t","FORCE_BUY",32500,17750
"ct","NORMAL",33400,26100
"t","NORMAL",29000,19850
"t","ECO",6150,27300
"t","ECO",9900,29100
"ct","NORMAL",20250,28900
"ct","NORMAL",29850,23300
"t","SEMI_ECO",31900,12700
"ct","NORMAL",21750,27150
"ct","NORMAL",26750,16450
"t","FORCE_BUY",8400,16250
"t","ECO",1300,19600
"t","NORMAL",23750,25700
"t","ECO",8150,28500
"ct","NORMAL",29100,28900
"ct","NORMAL",29850,25950
"ct","ECO",33400,9300
"ct","NORMAL",30950,21700
"t","NORMAL",32900,21700
"ct","FORCE_BUY",10850,21550
"ct","ECO",28800,1400
"ct","NORMAL",30250,23000
"t","NORMAL",33550,20800
"t","PISTOL_ROUND",6650,19050
"ct","ECO",1100,22400
"t","NORMAL",27950,18450
"t","ECO",3400,25650
"ct","ECO",8800,24500
"ct","ECO",26950,8150
"ct","ECO",29750,8350
"t","ECO",31250,7050
"t","NORMAL",21050,23550
"t","ECO",5850,25450
"t","NORMAL",22900,23550
"t","PISTOL_ROUND",3800,3650
"t","ECO",6100,16500
"ct","ECO",2850,23100
"ct","ECO",28850,4750
"ct","ECO",21450,2300
"t","NORMAL",22400,21600
"ct","FORCE_BUY",12200,23300
"ct","FORCE_BUY",21100,10650
"ct","FORCE_BUY",31000,14950
"ct","ECO",30600,4750
"ct","NORMAL",31200,20950
"t","NORMAL",30600,19300
"t","NORMAL",28050,21750
"ct","NORMAL",23200,22800
"t","NORMAL",25350,21750
"ct","PISTOL_ROUND",4250,4200
"ct","ECO",14450,5400
"ct","ECO",19900,3750
"t","NORMAL",25100,23800
"t","NORMAL",22500,24100
"t","ECO",3100,23600
"ct","NORMAL",23800,25400
"t","NORMAL",25150,22600
"t","SEMI_ECO",10900,25300
"t","SEMI_ECO",11550,27450
"ct","FORCE_BUY",14250,27350
"t","NORMAL",23450,15050
"t","PISTOL_ROUND",4200,4300
"t","FORCE_BUY",7350,14700
"t","ECO",2500,21300
"t","NORMAL",19900,28900
"t","ECO",2700,27250
"ct","NORMAL",21750,24750
"t","NORMAL",24150,24750
"t","ECO",4800,28050
"t","ECO",9650,27950
"t","ECO",9600,30400
"t","FORCE_BUY",14300,30800
"t","NORMAL",22000,29150
"ct","FORCE_BUY",14800,28450
"t","NORMAL",24350,28100
"t","FORCE_BUY",13350,28900
"ct","PISTOL_ROUND",3800,3600
"ct","ECO",21400,4350
"ct","FORCE_BUY",22650,12000
"t","PISTOL_ROUND",4350,3700
"ct","SEMI_ECO",6400,14250
"ct","ECO",22050,7700
"ct","ECO",24650,1000
"ct","NORMAL",26750,23500
"ct","ECO",27750,5250
"t","NORMAL",27650,25000
"t","NORMAL",24000,24000
"ct","NORMAL",22300,19700
"ct","FORCE_BUY",28050,13800
"t","SEMI_ECO",27450,11750
"t","NORMAL",25750,20100
"t","SEMI_ECO",11200,29500
"t","FORCE_BUY",14550,28900
"ct","FORCE_BUY",14650,25100
"t","PISTOL_ROUND",4300,4350
"t","SEMI_ECO",6800,17700
"t","ECO",1950,19400
"t","NORMAL",23900,23800
"t","ECO",6250,21450
"t","NORMAL",27500,25000
"t","NORMAL",24450,24400
"t","NORMAL",22300,27450
"ct","PISTOL_ROUND",4400,3450
"ct","FORCE_BUY",14050,6600
"ct","ECO",18050,2200
"ct","NORMAL",27150,22800
"ct","ECO",30650,5400
"ct","NORMAL",29800,23600
"ct","FORCE_BUY",36650,17050
"t","FORCE_BUY",34300,16000
"t","NORMAL",32250,23050
"t","NORMAL",14950,22700
"t","ECO",5150,26100
"t","NORMAL",24450,25000
"ct","NORMAL",23750,25650
"t","FORCE_BUY",23900,12450
"t","FORCE_BUY",12250,25100
"t","PISTOL_ROUND",4000,4150
"ct","SEMI_ECO",7100,17850
"ct","ECO",21950,3700
"t","NORMAL",26700,23650
"ct","SEMI_ECO",12450,30000
"ct","ECO",19300,4650
"t","NORMAL",25250,22750
"t","NORMAL",16750,26350
"t","ECO",6200,25450
"ct","NORMAL",20400,28050
"t","NORMAL",22900,15600
"t","ECO",8050,24400
"t","SEMI_ECO",11350,26100
"t","PISTOL_ROUND",4450,4100
"t","ECO",5150,16500
"t","ECO",1200,18450
"ct","NORMAL",23550,26350
"ct","NORMAL",23500,19650
"ct","ECO",25050,4050
"ct","NORMAL",32500,20350
"t","ECO",29900,9650
"ct","ECO",5000,28900
"t","ECO",29600,5500
"ct","NORMAL",15950,23250
"t","NORMAL",23300,17400
"ct","SEMI_ECO",11600,25800
"ct","ECO",28250,5350
"t","NORMAL",30250,23700
"t","PISTOL_ROUND",4500,3550
"t","ECO",5800,16550
"t","ECO",1700,20750
"ct","NORMAL",24850,22050
"ct","ECO",30750,10550
"ct","ECO",31350,5850
"ct","FORCE_BUY",32750,17750
"ct","FORCE_BUY",32350,17500
"ct","FORCE_BUY",31000,18100
"ct","NORMAL",31000,18700
"ct","NORMAL",19800,13650
"ct","ECO",26100,3150
"t","NORMAL",26050,24050
"t","NORMAL",23300,23750
"t","ECO",1100,30100
"ct","NORMAL",22900,27250
"t","NORMAL",26700,25750
"t","ECO",7750,21100
"ct","ECO",7500,25950
"ct","SEMI_ECO",29100,12550
"ct","ECO",29550,1500
"ct","NORMAL",30600,22850
"ct","NORMAL",30200,20150
"ct","FORCE_BUY",31300,18650
"t","PISTOL_ROUND",4200,3250
"t","FORCE_BUY",8900,16900
"t","ECO",4050,15300
"t","NORMAL",16750,21900
"ct","NORMAL",16750,18600
"t","NORMAL",29450,20550
"t","FORCE_BUY",10600,18000
"t","PISTOL_ROUND",4350,4250
"t","FORCE_BUY",7150,14850
"t","ECO",1000,16950
"ct","NORMAL",23500,15600
"ct","NORMAL",28750,25250
"t","NORMAL",29100,23050
"t","ECO",3150,26550
"ct","ECO",4250,26550
"ct","NORMAL",33000,21700
"t","NORMAL",33950,22000
"t","ECO",3350,20600
"ct","NORMAL",22750,23500
"ct","NORMAL",25650,19250
"ct","FORCE_BUY",21100,12350
"t","NORMAL",28800,23700
"ct","PISTOL_ROUND",3650,3100
"ct","ECO",17950,6450
"ct","ECO",19300,1500
"t","NORMAL",23950,23500
"t","NORMAL",28900,24150
"ct","ECO",2800,25800
"t","ECO",28200,2750
"t","ECO",5150,27150
"t","ECO",3450,24000
"ct","NORMAL",26200,27800
"ct","ECO",27500,6100
"t","NORMAL",30300,20800
"ct","NORMAL",20650,25400
"t","NORMAL",28700,22100
"t","FORCE_BUY",12350,27000
"ct","NORMAL",31450,24950
"ct","NORMAL",32050,25350
"ct","NORMAL",32100,27500
"t","NORMAL",34700,27050
"ct","PISTOL_ROUND",4300,4300
"ct","ECO",14300,1400
"ct","NORMAL",22050,22500
"ct","ECO",27450,2700
"ct","NORMAL",29950,26100
"ct","NORMAL",31400,22500
"ct","ECO",30700,6000
"t","NORMAL",32600,22900
"ct","NORMAL",30950,27350
"ct","SEMI_ECO",31500,13250
"ct","ECO",30000,8650
"ct","ECO",31450,11700
"ct","ECO",32900,7900
"ct","FORCE_BUY",34350,18050
"ct","NORMAL",29650,21000
"t","PISTOL_ROUND",2300,3900
"t","NORMAL",9950,15650
"ct","PISTOL_ROUND",3650,3550
"t","SEMI_ECO",17600,7250
"t","ECO",4600,19950
"t","ECO",1100,23100
"t","NORMAL",24650,24500
"t","FORCE_BUY",12550,26550
"ct","NORMAL",25000,27050
"ct","NORMAL",22700,24200
"t","NORMAL",29700,21700
"t","ECO",2000,23100
"t","NORMAL",14000,23000
"t","ECO",1400,24700
"ct","NORMAL",22850,25400
"t","NORMAL",23550,24700
"t","ECO",7150,26900
"t","PISTOL_ROUND",4300,3000
"ct","ECO",1700,21150
"ct","ECO",27900,3000
"t","ECO",30550,5700
"t","NORMAL",16350,21950
"ct","ECO",7650,23050
"ct","NORMAL",29650,19350
"t","PISTOL_ROUND",4250,4050
"ct","FORCE_BUY",8250,14700
"t","ECO",16200,4550
"t","FORCE_BUY",11150,21450
"t","ECO",8300,23600
"t","NORMAL",26200,23200
"t","ECO",2350,25250
"ct","NORMAL",24500,24500
"ct","FORCE_BUY",27850,15300
"ct","NORMAL",26000,22750
"ct","ECO",31950,6900
"ct","NORMAL",26350,25900
"t","NORMAL",21400,19200
"t","SEMI_ECO",11400,26500
"t","NORMAL",23600,29100
"t","PISTOL_ROUND",4450,4250
"t","FORCE_BUY",6800,13800
"t","ECO",3000,19500
"t","NORMAL",22700,22700
"t","ECO",6400,26750
"t","NORMAL",25750,27450
"ct","FORCE_BUY",16900,31850
"t","NORMAL",30300,26750
"t","FORCE_BUY",15100,30400
"t","ECO",8850,31750
"ct","ECO",10750,29200
"ct","ECO",9800,29400
"ct","SEMI_ECO",26150,10550
"ct","NORMAL",28650,18200
"t","NORMAL",28250,19150
"t","PISTOL_ROUND",3750,4300
"ct","SEMI_ECO",6600,16300
"t","SEMI_ECO",22850,9450
"t","ECO",6750,21050
"t","ECO",3050,25150
"t","NORMAL",23050,26000
"t","FORCE_BUY",11050,20200
"ct","NORMAL",26750,20600
"ct","NORMAL",26800,21050
"t","NORMAL",28900,18800
"t","FORCE_BUY",12550,23600
"ct","ECO",8850,23500
"t","SEMI_ECO",30150,11600
"ct","NORMAL",20200,24850
"ct","ECO",30200,8600
"ct","PISTOL_ROUND",4250,4350
"ct","ECO",18550,3250
"t","NORMAL",15300,23900
"t","SEMI_ECO",10250,25100
"t","ECO",4950,24700
"ct","NORMAL",19750,25400
"t","SEMI_ECO",11000,27350
"t","ECO",3100,27150
"t","ECO",4600,27350
"ct","NORMAL",24700,27650
"t","NORMAL",21550,26850
"t","ECO",2850,27450
"ct","FORCE_BUY",15500,27950
"t","NORMAL",27650,27150
"t","NORMAL",13950,22950
"t","PISTOL_ROUND",4250,3500
"ct","FORCE_BUY",7500,15150
"ct","NORMAL",21700,13500
"ct","ECO",25000,1400
"ct","NORMAL",28000,23000
"ct","ECO",27200,5400
"t","NORMAL",28300,26150
"ct","NORMAL",27050,27050
"t","NORMAL",30050,19500
"t","ECO",5900,26650
"t","NORMAL",23650,25500
"t","ECO",2950,27450
"t","NORMAL",26750,27350
"t","ECO",8650,27150
"t","NORMAL",24550,27250
"ct","PISTOL_ROUND",4450,4400
"ct","ECO",18000,6750
"ct","ECO",23750,1200
"ct","NORMAL",26700,23400
"ct","ECO",27550,1900
"t","NORMAL",30050,25850
"ct","NORMAL",28100,27350
"ct","NORMAL",28800,24400
"ct","PISTOL_ROUND",4250,3750
"ct","ECO",16700,2900
"ct","ECO",23200,3300
"ct","NORMAL",25000,22500
"ct","ECO",31450,1300
"ct","NORMAL",26750,20350
"ct","NORMAL",25950,24350
"ct","ECO",30300,8250
"ct","NORMAL",31600,26550
"t","NORMAL",31050,20600
"t","NORMAL",28650,20700
"t","ECO",2650,26050
"t","NORMAL",27050,26500
"t","ECO",5150,26000
"ct","NORMAL",30650,28550
"t","PISTOL_ROUND",4450,4300
"ct","ECO",3950,15350
"t","FORCE_BUY",23400,12150
"ct","FORCE_BUY",8950,18800
"t","ECO",24650,3950
"t","SEMI_ECO",9200,23150
"t","NORMAL",17650,25050
"t","NORMAL",14850,24650
"t","PISTOL_ROUND",4400,3850
"t","ECO",5550,15400
"t","ECO",2200,17250
"t","NORMAL",24750,24200
"t","ECO",4600,22400
"ct","NORMAL",28100,27650
"ct","NORMAL",24750,20100
"ct","ECO",28000,2600
"ct","NORMAL",29950,20200
"ct","FORCE_BUY",32350,19100
"ct","ECO",32100,3000
"t","SEMI_ECO",32100,14350
"ct","NORMAL",26600,22950
"ct","ECO",31200,3200
"t","SEMI_ECO",31350,12450
"ct","PISTOL_ROUND",4350,4400
"ct","ECO",18750,6050
"ct","ECO",21150,2300
"ct","NORMAL",27700,25150
"t","ECO",32900,3650
"t","NORMAL",22500,16900
"t","FORCE_BUY",15700,29550
"t","ECO",1200,29550
"ct","NORMAL",31350,29650
"ct","NORMAL",22700,24750
"t","NORMAL",30850,26900
"t","NORMAL",22400,26900
"t","ECO",5800,27300
"ct","FORCE_BUY",15000,27900
"ct","NORMAL",28550,24450
"ct","PISTOL_ROUND",3750,3600
"t","ECO",16400,3900
"ct","FORCE_BUY",8200,17300
"t","NORMAL",19050,15600
"t","NORMAL",16850,23400
"t","ECO",2850,19150
"ct","NORMAL",26900,20950
"ct","ECO",28050,3850
"ct","NORMAL",29950,22100
"ct","ECO",31500,3050
"ct","NORMAL",32100,24750
"ct","NORMAL",32900,21250
"t","NORMAL",32900,19950
"ct","NORMAL",25300,30200
"t","NORMAL",31250,24950
"t","PISTOL_ROUND",3750,2850
"t","ECO",5700,16200
"t","ECO",5600,22950
"t","NORMAL",21550,23450
"t","SEMI_ECO",12450,29550
"ct","NORMAL",21850,27150
"t","NORMAL",27800,18900
"t","NORMAL",17750,23050
"ct","PISTOL_ROUND",4250,4400
"ct","ECO",14900,2200
"ct","NORMAL",25200,21700
"ct","ECO",26500,2700
"ct","NORMAL",30950,25250
"ct","ECO",31050,8700
"t","NORMAL",33500,24800
"ct","NORMAL",31550,21200
"ct","ECO",28100,5300
"t","NORMAL",31950,22050
"ct","NORMAL",27600,25400
"ct","NORMAL",27400,17600
"ct","ECO",31350,2500
"ct","NORMAL",31600,21800
"ct","ECO",32900,11600
"t","PISTOL_ROUND",3550,4000
"t","ECO",6750,17800
"t","SEMI_ECO",10250,23100
"ct","ECO",16200,3800
"t","ECO",20700,1700
"ct","NORMAL",20150,21400
"t","FORCE_BUY",21750,12400
"ct","ECO",7400,23550
"ct","NORMAL",20950,22500
"ct","ECO",22200,5750
"t","NORMAL",25600,20600
"t","NORMAL",13900,23100
"ct","FORCE_BUY",8600,16000
"t","FORCE_BUY",29400,17200
"t","SEMI_ECO",11450,25250
"t","ECO",4700,25550
"ct","NORMAL",25350,27350
"t","PISTOL_ROUND",4300,4250
"t","ECO",5400,15200
"ct","NORMAL",25550,24000
"ct","NORMAL",20650,22700
"t","SEMI_ECO",26150,10800
"t","ECO",2850,21150
"ct","SEMI_ECO",11250,26750
"t","FORCE_BUY",26650,13600
"t","SEMI_ECO",9550,21700
"t","NORMAL",18050,26200
"t","PISTOL_ROUND",3600,4350
"t","ECO",4450,13300
"t","ECO",1700,20150
"ct","NORMAL",26500,24950
"ct","NORMAL",20350,18600
"ct","NORMAL",26500,24400
"t","FORCE_BUY",28250,14750
"t","FORCE_BUY",12900,23350
"t","FORCE_BUY",11550,23700
"t","NORMAL",17950,25650
"t","ECO",6300,25050
"ct","NORMAL",22850,25050
"ct","NORMAL",20750,24850
"t","NORMAL",21350,25250
"t","ECO",7750,24150
"t","PISTOL_ROUND",3000,4250
"t","ECO",5250,16900
"t","ECO",3000,20600
"t","NORMAL",21000,27750
"t","SEMI_ECO",12050,27050
"ct","NORMAL",22150,28000
"ct","NORMAL",29000,28400
"ct","FORCE_BUY",29650,16500
"ct","ECO",33050,7000
"ct","ECO",35550,12300
"ct","PISTOL_ROUND",4300,4250
"ct","ECO",20050,4100
"t","NORMAL",22650,20700
"ct","NORMAL",21900,24300
"ct","SEMI_ECO",23100,10300
"ct","FORCE_BUY",28150,16200
"ct","ECO",29550,4600
"t","NORMAL",31650,22400
"ct","NORMAL",26400,22150
"ct","ECO",28500,4450
"t","ECO",28900,10600
"t","NORMAL",24000,26500
"t","NORMAL",25000,28400
"t","SEMI_ECO",10300,23150
"t","NORMAL",21500,25550
"ct","PISTOL_ROUND",4350,4250
"t","ECO",20200,2300
"t","NORMAL",12950,20200
"ct","ECO",2850,23300
"ct","NORMAL",27900,17800
"ct","ECO",29000,6800
"t","SEMI_ECO",30950,12000
"t","NORMAL",19500,26400
"ct","ECO",5350,26700
"ct","NORMAL",28850,21100
"ct","NORMAL",28700,19200
"ct","SEMI_ECO",28600,12900
"ct","FORCE_BUY",31350,15500
"t","PISTOL_ROUND",3700,3850
"t","ECO",3000,16500
"t","ECO",3500,15550
"ct","NORMAL",17650,22900
"ct","NORMAL",20200,18700
"ct","ECO",21350,1200
"ct","NORMAL",21100,19700
"t","NORMAL",27200,17500
"ct","NORMAL",24150,20500
"ct","ECO",24900,4850
"ct","ECO",25450,2600
"ct","NORMAL",30850,19400
"t","NORMAL",26950,22300
"ct","NORMAL",16400,17600
"ct","ECO",27700,6200
"t","PISTOL_ROUND",3400,4300
"ct","ECO",2050,9950
"t","FORCE_BUY",19050,9450
"t","ECO",7700,22450
"ct","SEMI_ECO",7450,17850
"t","NORMAL",21650,18800
"t","SEMI_ECO",9450,24500
"ct","NORMAL",14750,18050
"ct","ECO",26250,5850
"ct","FORCE_BUY",28550,13800
"ct","ECO",31950,1700
"ct","NORMAL",32450,22500
"ct","FORCE_BUY",31950,16950
"t","SEMI_ECO",25050,10450
"ct","PISTOL_ROUND",3500,4300
"ct","SEMI_ECO",16450,7400
"ct","ECO",18600,1100
"ct","NORMAL",26200,22700
